M E_int S T a b c
13 0.30836270224054735 2.000000000000001 195.00000000000014 0 3.000000000000003 0
13 0.5039579965355185 0.9999999999999998 194.99999999999997 0 2.999999999999999 0
13 0.4636917313743955 0.9999999999999998 195. 0 2.9999999999999996 0
13 0.36029932851308727 0.9999999999999993 194.99999999999986 0 2.999999999999998 0
13 0.611662582075992 0 194.99999999999994 0 2.9999999999999987 0
13 0.49292371213085456 0 194.99999999999994 0 3.0000000000000004 0
13 0.45577189002557666 0 195.00000000000003 0 3. 0
13 0.3432841429057938 0 194.99999999999994 0 2.9999999999999987 0
13 0.5397624947321236 1.0000000000000002 168.00000000000009 0 3.999999999999999 0
13 0.44817771035653414 0.9999999999999996 167.9999999999999 0 3.9999999999999973 0
13 0.39223156703637196 1.0000000000000002 167.99999999999994 0 4. 0
13 0.5744498727223099 0 167.99999999999997 0 3.9999999999999996 0
13 0.4327025015310904 0 167.99999999999994 0 3.9999999999999982 0
13 0.4824384212473078 1.0000000000000002 143.00000000000009 0 4.999999999999999 0
13 0.632419546201884 0 143. 0 4.999999999999999 0
13 0.47171787149813954 0 142.99999999999986 0 4.999999999999998 0
13 0.5570423008216334 0.9999999999999996 120. 0 5.9999999999999964 0
13 0.6565141402540683 0 98.99999999999999 0 6.999999999999998 0
14 0.29947525570017103 2. 323.00000000000006 0 0 0
14 0.29009706667089463 2. 322.99999999999983 0 0 0
14 0.24671810579249143 2. 322.99999999999994 0 0 0
14 0.2039955368079408 1.9999999999999991 322.99999999999983 0 0 0
14 0.06820334570369456 2. 323.0000000000002 0 0 0
14 0.49792234316622913 1.0000000000000004 323.0000000000002 0 0 0
14 0.4713004332076302 1.0000000000000002 323.00000000000017 0 0 0
